"k","coauthor.lepouras","coauthor.katifori","coauthor.vassilakis","coauthor.catarci","coauthor.poggi","coauthor.ioannidis","coauthor.mora","coauthor.daradimos","coauthor.md_akim","coauthor.humayoun","coauthor.terella","coauthor.dix","coauthor.vayanou","coauthor.georgiou","coauthor.iatropoulou","coauthor.karvounis","coauthor.kyriakidi","coauthor.manola","coauthor.mouzakidis","coauthor.stamatogiannakis","coauthor.triantafyllidi","coauthor.agrawal","coauthor.bernstein","coauthor.carey","coauthor.ceri","coauthor.croft","coauthor.dewitt","coauthor.franklin","coauthor.garciamolina","coauthor.gawlick","coauthor.gray","coauthor.haas","coauthor.halevy","coauthor.hellerstein","coauthor.kersten","coauthor.pazzani","coauthor.lesk","coauthor.maier","coauthor.naughton","coauthor.schek","coauthor.sellis","coauthor.silberschatz","coauthor.stonebraker","coauthor.snodgrass","coauthor.ullman","coauthor.weikum","coauthor.widom","coauthor.zdonik","coauthor.abiteboul","subject.h_digital_libraries","subject.content_user_functionality_quality_policy_architecture_digital_library_domain","subject.delos_digital_library_reference_model","subject.digital_libraries","subject.interoperability","coauthor.candela","coauthor.castelli","coauthor.el_raheb","coauthor.innocenti","coauthor.nika","coauthor.parker","coauthor.ross","coauthor.thanos","coauthor.toli","coauthor.vullo","coauthor.athanasopoulos","subject.digital_library","subject.manifesto","subject.reference_model","coauthor.ferro","coauthor.koutrika","coauthor.meghini","coauthor.pagano","coauthor.soergel","coauthor.agosti","coauthor.dobreva","coauthor.schuldt","subject.h_online_information_services","subject.crossdomain_scientific_research","subject.data_infrastructure","coauthor.buneman","coauthor.dirks","coauthor.gagliardi","coauthor.hey","coauthor.wilson","subject.digital_library_system","subject.interoperability_approach","coauthor.tani","subject.content_domain_model","subject.functionality","coauthor.fox","coauthor.kakaletris","coauthor.rauber","coauthor.davidson","coauthor.knoblock","coauthor.rabitti","subject.digital_library_conformance","subject.policy_domain_model","subject.architecture_domain_model","subject.functionality_domain_model","subject.user_domain_model","subject.quality_domain_model","coauthor.kossmann","coauthor.nottelmann","coauthor.scheck","coauthor.zezula","coauthor.zimmer","coauthor.christodoulakis","coauthor.tjoa","coauthor.bender","coauthor.triantafillou","coauthor.scholl","coauthor.schmidt","coauthor.matthes","coauthor.hatzopoulos","coauthor.boehm","coauthor.kemper","coauthor.grust","coauthor.michel","subject.digital_library_systems_interoperability__best_practices","subject.building_by_reuse","subject.digital_library_foundation","subject.distributed_information_retrieval","subject.diligent","coauthor.sibeko","coauthor.papanikos","coauthor.polydoras","coauthor.aarvaag","coauthor.crestani","coauthor.simeoni","coauthor.delis","coauthor.tsakalozos","coauthor.bosio","coauthor.manieri","coauthor.guidetti","subject.digital_library_interoperability","subject.digital_library_foundations","coauthor.harboeree","subject.digital_library_systems_user_requirements","subject.digital_libraries_reference_model","coauthor.fuhr","coauthor.klas","coauthor.saidis","coauthor.springmann","subject.articles","coauthor.akutsu","coauthor.doreleijers","coauthor.harano","coauthor.lin","coauthor.livny","coauthor.mading","coauthor.maziuk","coauthor.miller","coauthor.nakatani","coauthor.schulte","coauthor.tolmie","coauthor.kent_wenger","coauthor.yao","coauthor.markley","coauthor.ulrich","subject.computer_science__databases","coauthor.molina","id","name","title"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::340db51382b31a6265f8682e932bb15d","Ioannidis, Yannis","Digital library conformance checklist"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::da4efd3565a317529fa50719606f584d","Ioannidis, Yannis","DL.org - The Digital Library Reference Model"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od_______211::2bb380c132ac5290f1bf874161c6ca22","Ioannidis, Yannis","Personalized Query Routing in Peer-to-Peer Federations of Digital Libraries"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od_______211::4fde2758fbe0c67dbd71f701317cabde","Ioannidis, Yannis","IQN Routing: Integrating Quality and Novelty in P2P Querying and Ranking"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::dee70fe92ae8653c83d08a1f20d2eaad","Ioannidis, Yannis","DL.org - Digital library technology and methodology cookbook: RFC version"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::f60646ba9b66a92e21000161138fe2b6","Ioannidis, Yannis","Setting the foundations of digital libraries - The DELOS Manifesto"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::5de09c441a2601229938406a38f1698c","Ioannidis, Yannis","A Grid-based Infrastructure for Distributed Retrieval"
ioannidisy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::681fe7c5832b9b8198eebafc29cf73fd","Ioannidis, Yannis","DILIGENT - Liaison and dissemination activities report - M12"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::d01ed24d7b48297b024484a3d8218a94","Ioannidis, Yannis","DL.org digital library technology & methodology cookbook : an interoperability framework best practices & solutions"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::3f018b3c42e9fe94d2259780f7d867d5","Ioannidis, Yannis","DL.org digital library manifesto"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::4e1996634f16f9a5e2f5844375e5a0dc","Ioannidis, Yannis","Outcomes and recommendations of GRL2020 Asia"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::ca7d103b8e2243094c499bbd29f80403","Ioannidis, Yannis","DELOS - Current Digital Library Systems: User Requirements vs Provided Functionality"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"30|od_______908::eb60e5a9149f31c4bb9eacbaa716bb87","Ioannidis, Yannis E.","BioMagResBank"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"30|od________18::ecdd943f94f3111234d4bfd9ff481cb0","Ioannidis, Yannis","The Lowell Database Research Self Assessment"
